unix,date,symbol,open,high,low,close,VolumeBTC,VolumeUSDT,tradecount,EMA,SMA,RSI
1651363200000,5/1/2022 00:00,BTC/USDT,37630.8,38675,37386.38,38468.35,38812.24104,1478259272,1021157,39915.59015,39725.355,41.68063202
1651449600000,5/2/2022 00:00,BTC/USDT,38468.35,39167.34,38052,38525.16,53200.92628,2058450718,1053893,39610.95146,39638.94286,41.9683264
1651536000000,5/3/2022 00:00,BTC/USDT,38525.16,38651.51,37517.8,37728.95,40316.45358,1539320434,1005131,39458.6046,39476.37357,39.06002997
1651622400000,5/4/2022 00:00,BTC/USDT,37728.95,40023.77,37670,39690,62574.61736,2438553987,1238847,39334.14532,39207.5,48.52205225
1651708800000,5/5/2022 00:00,BTC/USDT,39690,39845.51,35571.9,36552.97,88722.43355,3329684236,1979692,39120.11928,39088.34357,38.28220714
1651795200000,5/6/2022 00:00,BTC/USDT,36552.97,36675.63,35258,36013.77,68437.80187,2466507512,1214518,39196.10338,38807.84071,36.84299425
1651881600000,5/7/2022 00:00,BTC/USDT,36013.77,36146.3,34785,35472.39,34281.70682,1222539414,746488,38843.68559,38543.88286,35.4038142
1651968000000,5/8/2022 00:00,BTC/USDT,35472.4,35514.22,33713.95,34038.4,72445.64344,2498365160,1301451,38466.36351,38260.36786,31.85438854
1652054400000,5/9/2022 00:00,BTC/USDT,34038.39,34243.15,30033.33,30076.31,191876.9264,6166367111,2564538,38067.16704,37873.81571,24.5352312
1652140800000,5/10/2022 00:00,BTC/USDT,30074.23,32658.99,29730.4,31017.1,165532.0031,5179856929,2470325,37529.99811,37134.54643,28.72310533
1652227200000,5/11/2022 00:00,BTC/USDT,31017.11,32162.59,27785,29103.94,207063.7393,6300295995,3559270,36536.17302,36627.72143,25.61058526
1652313600000,5/12/2022 00:00,BTC/USDT,29103.94,30243,26700,29029.75,204507.2631,5795451311,3951233,35800.29662,35904.02286,25.49520856
1652400000000,5/13/2022 00:00,BTC/USDT,29029.74,31083.37,28751.67,29287.05,97872.36957,2956855805,2051900,34907.44907,35138.85714,26.72807296
1652486400000,5/14/2022 00:00,BTC/USDT,29287.05,30343.27,28630,30086.74,51095.87863,1501483454,1204626,34123.75586,34473.92429,30.57331849
1652572800000,5/15/2022 00:00,BTC/USDT,30086.74,31460,29480,31328.89,46275.66912,1401499926,1016769,33478.86175,33935.06286,36.17613767
1652659200000,5/16/2022 00:00,BTC/USDT,31328.89,31328.9,29087.04,29874.01,73082.19658,2185567736,1561954,33026.57885,33425.10143,32.83387797
1652745600000,5/17/2022 00:00,BTC/USDT,29874.01,30788.37,29450.38,30444.93,56724.13307,1715109131,1175382,32800.22033,32807.16214,35.35774941
1652832000000,5/18/2022 00:00,BTC/USDT,30444.93,30709.99,28654.47,28715.32,59749.15799,1762843836,1379212,32410.05896,32286.875,31.49642864
1652918400000,5/19/2022 00:00,BTC/USDT,28715.33,30545.18,28691.38,30319.23,67877.36415,2014360136,1860780,32148.04176,31502.96929,38.23279514
1653004800000,5/20/2022 00:00,BTC/USDT,30319.22,30777.33,28730,29201.01,60517.25325,1800589029,1694004,31690.34553,31057.70214,35.60407617
1653091200000,5/21/2022 00:00,BTC/USDT,29201.01,29656.18,28947.28,29445.06,20987.13124,616194664,643486,31507.53012,30571.07643,36.62817197
1653177600000,5/22/2022 00:00,BTC/USDT,29445.07,30487.99,29255.11,30293.94,36158.98748,1082530816,862880,31199.99411,30140.55286,40.19104692
1653264000000,5/23/2022 00:00,BTC/USDT,30293.93,30670.51,28866.35,29109.15,63901.49932,1914305818,1328317,30966.00289,29873.09143,37.05933551
1653350400000,5/24/2022 00:00,BTC/USDT,29109.14,29845.86,28669,29654.58,59442.96036,1740257602,946421,30876.39451,29804.00857,39.40035392
1653436800000,5/25/2022 00:00,BTC/USDT,29654.58,30223.74,29294.21,29542.15,59537.38659,1771708175,985440,30640.76191,29706.68571,39.07770484
1653523200000,5/26/2022 00:00,BTC/USDT,29542.14,29886.64,28019.56,29201.35,94581.65463,2759055410,1431112,30509.27099,29737.98643,38.06027543
1653609600000,5/27/2022 00:00,BTC/USDT,29201.35,29397.66,28282.9,28629.8,90998.5201,2626515959,1321406,30380.32152,29750.24357,36.35092903
1653696000000,5/28/2022 00:00,BTC/USDT,28629.81,29266,28450,29031.33,34479.35127,994674257.6,684423,30223.12532,29703.29714,38.44256976
1653782400000,5/29/2022 00:00,BTC/USDT,29031.33,29587.78,28839.21,29468.1,27567.34764,804777532.6,635311,30010.68194,29627.91071,40.72443608
1653868800000,5/30/2022 00:00,BTC/USDT,29468.1,32222,29299.62,31734.22,96785.9476,2980527582,1380410,29880.10168,29494.99714,50.89510061
1653955200000,5/31/2022 00:00,BTC/USDT,31734.23,32399,31200.01,31801.04,62433.11632,1981259117,1161340,29825.16813,29627.86929,51.16120183
1654041600000,6/1/2022 00:00,BTC/USDT,31801.05,31982.97,29301,29805.83,103395.6338,3171191028,1404611,30079.70838,29724.73429,43.56901933
1654128000000,6/2/2022 00:00,BTC/USDT,29805.84,30689,29594.55,30452.62,56961.42928,1711652906,1086183,30309.21926,29802.62786,46.34852117
1654214400000,6/3/2022 00:00,BTC/USDT,30452.63,30699,29282.36,29700.21,54067.44727,1615616951,993769,30242.10069,29812.15571,43.65477268
1654300800000,6/4/2022 00:00,BTC/USDT,29700.21,29988.88,29485,29864.04,25617.90113,760874329.5,618037,30270.16993,29847.81286,44.41234323
1654387200000,6/5/2022 00:00,BTC/USDT,29864.03,30189,29531.42,29919.21,23139.9281,691201528.2,604680,30194.17527,29877.74,44.68207127
1654473600000,6/6/2022 00:00,BTC/USDT,29919.2,31765.64,29890.23,31373.1,68836.92456,2149499897,1124745,30150.15724,29850.97357,51.37776928
1654560000000,6/7/2022 00:00,BTC/USDT,31373.1,31589.6,29218.96,31125.33,110674.5166,3347397953,1743957,30119.36427,30012.68429,50.26125287
1654646400000,6/8/2022 00:00,BTC/USDT,31125.32,31327.22,29843.88,30204.77,68542.61276,2087270428,1236327,30286.52904,30117.73786,46.24055901
1654732800000,6/9/2022 00:00,BTC/USDT,30204.77,30700,29944.1,30109.93,46291.1865,1399839074,841562,30398.36916,30165.06786,45.83376239
1654819200000,6/10/2022 00:00,BTC/USDT,30109.93,30382.8,28850,29091.88,76204.2498,2255866294,1258608,30372.55594,30229.96643,41.60280088
1654905600000,6/11/2022 00:00,BTC/USDT,29091.87,29440.41,28099.99,28424.7,65901.39895,1892007188,1084163,30337.53915,30262.97214,39.05817408
1654992000000,6/12/2022 00:00,BTC/USDT,28424.71,28544.96,26560,26574.53,92474.59881,2551767136,1451271,30171.45126,30219.64143,33.02556619
1655078400000,6/13/2022 00:00,BTC/USDT,26574.53,26895.84,21925.77,22487.41,254611.035,6192246037,3261484,29938.5511,30012.95786,24.15142463
1655164800000,6/14/2022 00:00,BTC/USDT,22485.27,23362.88,20846,22136.41,187201.6467,4136108699,2583151,29490.01495,29352.47143,23.56578244
1655251200000,6/15/2022 00:00,BTC/USDT,22136.42,22800,20111.62,22583.72,200774.4935,4249276481,2847831,28556.33429,28662.14071,26.02754306
1655337600000,6/16/2022 00:00,BTC/USDT,22583.72,22995.73,20232,20401.31,99673.59429,2130037160,1690477,27700.34438,28146.27571,22.2604648
1655424000000,6/17/2022 00:00,BTC/USDT,20400.6,21365.43,20246.66,20468.81,86694.33663,1796575393,1352992,27018.1278,27428.325,22.63343736
1655510400000,6/18/2022 00:00,BTC/USDT,20468.81,20792.06,17622,18970.79,196441.6555,3726639822,2467372,26135.88543,26768.93929,20.30513515
1655596800000,6/19/2022 00:00,BTC/USDT,18970.79,20815.95,17960.41,20574,128320.876,2487561782,1950660,25380.27537,25990.85,28.7524078
1655683200000,6/20/2022 00:00,BTC/USDT,20574,21090,19637.03,20573.89,109028.9415,2220396382,1639448,24525.67732,25323.335,28.75218261
